40 24 4 30
0 1 0 3 11
0 1 3 5 15
0 1 0 3 13
0 1 3 5 11
0 1 0 3 13
0 2 5 7 17
0 2 7 9 17
0 2 9 11 17
0 2 7 9 15
0 2 9 11 21
1 1 0 3 9
1 1 0 3 11
1 1 0 3 9
1 1 0 3 7
1 2 7 9 17
1 2 7 9 15
1 2 7 9 17
1 2 11 13 21
1 3 7 9 17
1 3 11 13 19
1 3 13 15 23
1 3 15 17 25
2 1 0 3 9
2 1 0 3 11
2 1 0 3 11
2 1 0 3 9
2 2 9 11 21
2 2 9 11 19
2 2 9 11 15
2 2 9 11 19
2 3 15 17 25
2 3 15 17 23
2 3 7 9 17
2 3 15 17 21
3 1 0 3 11
3 1 0 3 11
3 1 0 3 11
3 2 5 7 11
3 2 7 9 19
3 2 11 13 17
